127.0.0.1 - - [16/Jun/2015:19:42:03 +0300] "GET / HTTP/1.1" 200 38 0.0011
127.0.0.1 - - [16/Jun/2015:19:42:04 +0300] "GET / HTTP/1.1" 200 38 0.0013
127.0.0.1 - - [16/Jun/2015:19:46:31 +0300] "GET / HTTP/1.1" 200 38 0.0028
127.0.0.1 - - [16/Jun/2015:19:46:31 +0300] "GET / HTTP/1.1" 200 38 0.0013
127.0.0.1 - - [16/Jun/2015:19:46:31 +0300] "GET / HTTP/1.1" 200 38 0.0013
127.0.0.1 - - [16/Jun/2015:19:46:32 +0300] "GET / HTTP/1.1" 200 38 0.0013
127.0.0.1 - - [16/Jun/2015:19:46:32 +0300] "GET / HTTP/1.1" 200 38 0.0012
127.0.0.1 - - [16/Jun/2015:19:46:32 +0300] "GET / HTTP/1.1" 200 38 0.0011
127.0.0.1 - - [16/Jun/2015:19:46:32 +0300] "GET / HTTP/1.1" 200 38 0.0012
127.0.0.1 - - [16/Jun/2015:19:47:13 +0300] "GET / HTTP/1.1" 200 38 0.0031
127.0.0.1 - - [16/Jun/2015:19:47:13 +0300] "GET / HTTP/1.1" 200 38 0.0043
127.0.0.1 - - [16/Jun/2015:19:47:13 +0300] "GET / HTTP/1.1" 200 38 0.0032
127.0.0.1 - - [16/Jun/2015:19:47:14 +0300] "GET / HTTP/1.1" 200 38 0.0028
127.0.0.1 - - [16/Jun/2015:19:51:25 +0300] "GET / HTTP/1.1" 200 247 0.0045
127.0.0.1 - - [16/Jun/2015:19:51:25 +0300] "GET / HTTP/1.1" 200 247 0.0050
127.0.0.1 - - [16/Jun/2015:19:51:26 +0300] "GET / HTTP/1.1" 200 247 0.0041
127.0.0.1 - - [16/Jun/2015:19:51:26 +0300] "GET / HTTP/1.1" 200 247 0.0039
127.0.0.1 - - [16/Jun/2015:19:51:26 +0300] "GET / HTTP/1.1" 200 247 0.0048
127.0.0.1 - - [16/Jun/2015:19:51:26 +0300] "GET / HTTP/1.1" 200 247 0.0036
127.0.0.1 - - [16/Jun/2015:19:51:42 +0300] "GET / HTTP/1.1" 200 247 0.0035
127.0.0.1 - - [16/Jun/2015:19:55:55 +0300] "GET / HTTP/1.1" 200 247 0.0056
127.0.0.1 - - [16/Jun/2015:19:55:56 +0300] "GET / HTTP/1.1" 200 247 0.0041
127.0.0.1 - - [16/Jun/2015:19:55:56 +0300] "GET / HTTP/1.1" 200 247 0.0035
127.0.0.1 - - [16/Jun/2015:19:55:56 +0300] "GET / HTTP/1.1" 200 247 0.0029
127.0.0.1 - - [16/Jun/2015:19:55:56 +0300] "GET / HTTP/1.1" 200 247 0.0035
127.0.0.1 - - [16/Jun/2015:19:56:54 +0300] "GET / HTTP/1.1" 200 247 0.0045
127.0.0.1 - - [16/Jun/2015:19:56:54 +0300] "GET /javascripts/application.js HTTP/1.1" 404 533 0.0012
127.0.0.1 - - [16/Jun/2015:19:56:54 +0300] "GET /stylesheets/application.css HTTP/1.1" 404 534 0.0009
127.0.0.1 - - [16/Jun/2015:19:56:55 +0300] "GET / HTTP/1.1" 200 247 0.0048
127.0.0.1 - - [16/Jun/2015:19:56:55 +0300] "GET /javascripts/application.js HTTP/1.1" 404 533 0.0015
127.0.0.1 - - [16/Jun/2015:19:56:55 +0300] "GET /stylesheets/application.css HTTP/1.1" 404 534 0.0012
127.0.0.1 - - [16/Jun/2015:19:56:55 +0300] "GET / HTTP/1.1" 200 247 0.0029
127.0.0.1 - - [16/Jun/2015:19:56:55 +0300] "GET /javascripts/application.js HTTP/1.1" 404 533 0.0008
127.0.0.1 - - [16/Jun/2015:19:56:55 +0300] "GET /stylesheets/application.css HTTP/1.1" 404 534 0.0008
127.0.0.1 - - [16/Jun/2015:19:56:55 +0300] "GET / HTTP/1.1" 200 247 0.0036
127.0.0.1 - - [16/Jun/2015:19:56:55 +0300] "GET /javascripts/application.js HTTP/1.1" 404 533 0.0008
127.0.0.1 - - [16/Jun/2015:19:56:55 +0300] "GET /stylesheets/application.css HTTP/1.1" 404 534 0.0005
127.0.0.1 - - [16/Jun/2015:19:57:13 +0300] "GET / HTTP/1.1" 200 247 0.0032
127.0.0.1 - - [16/Jun/2015:19:57:13 +0300] "GET /javascripts/application.js HTTP/1.1" 404 533 0.0013
127.0.0.1 - - [16/Jun/2015:19:57:13 +0300] "GET /stylesheets/application.css HTTP/1.1" 404 534 0.0010
127.0.0.1 - - [16/Jun/2015:19:57:14 +0300] "GET / HTTP/1.1" 200 247 0.0039
127.0.0.1 - - [16/Jun/2015:19:57:14 +0300] "GET /javascripts/application.js HTTP/1.1" 404 533 0.0009
127.0.0.1 - - [16/Jun/2015:19:57:14 +0300] "GET /stylesheets/application.css HTTP/1.1" 404 534 0.0023
127.0.0.1 - - [16/Jun/2015:19:57:51 +0300] "GET / HTTP/1.1" 200 247 0.0045
127.0.0.1 - - [16/Jun/2015:19:57:51 +0300] "GET /javascripts/application.js HTTP/1.1" 404 533 0.0011
127.0.0.1 - - [16/Jun/2015:19:57:51 +0300] "GET /stylesheets/application.css HTTP/1.1" 404 534 0.0006
127.0.0.1 - - [16/Jun/2015:19:57:51 +0300] "GET / HTTP/1.1" 200 247 0.0037
127.0.0.1 - - [16/Jun/2015:19:57:51 +0300] "GET /javascripts/application.js HTTP/1.1" 404 533 0.0008
127.0.0.1 - - [16/Jun/2015:19:57:51 +0300] "GET /stylesheets/application.css HTTP/1.1" 404 534 0.0005
127.0.0.1 - - [16/Jun/2015:19:57:51 +0300] "GET / HTTP/1.1" 200 247 0.0028
127.0.0.1 - - [16/Jun/2015:19:57:51 +0300] "GET /javascripts/application.js HTTP/1.1" 404 533 0.0010
